class-row,class-topic,Week,Day,Date,Topic,Assign-OUT,Assign-DUE,
,,1,T,3-Sep,Introduction,,,
,,,R,5-Sep,Mental Models and Visual Perception,,,
,,2,T,10-Sep,Data Wrangling with Python,,,
,,,R,12-Sep,Data Visualization 101,hw01,,
,,3,T,16-Sep,Interaction,,,
,,,R,19-Sep,Coordinating Multiple Views,hw02,hw01,
,,4,T,24-Sep,Time-varying Data ,,,
,,,R,26-Sep,Geospatial Data - SAL,hw03,hw02,
noClass,italic,5,T,1-Oct,MOUNTAIN DAY!! Intro to Leaflet,,,
,,,R,3-Jan,hw03 Workshop,hw04,hw03,
,,6,T,8-Oct,Ab Sick - No Class,,,
,,,R,10-Oct,Networks,,,
noClass,italic ,7,T,15-Oct,NO CLASS - AUTUMN RECESS,,,
,proj italic,,R,17-Oct,AB AT VIS2024 - Mid-Semester Project Ideation,mp,,
,proj,8,T,22-Oct,MS Project Workshop,,hw04,
presy,proj,,R,24-Oct,Mid-Semester Project Presentations ,,mp,
,,9,T,29-Oct,Color and Visual Channels,,,
,,,R,31-Oct,Communicating Uncertainty ,hw05,,
,,10,T,5-Nov,hw05 Workshop,,,
,,,R,7-Nov,Prototyping,fp01,hw05,
noClass,italic,11,T,12-Nov,NO CLASS - CROMWELL DAY,,,
,,,R,14-Nov,Evaluation,fp02,fp01,
,,12,T,19-Nov,Dimension Reduction,,,
,proj,,R,21-Nov,FP Workshop - Prototype Testing ,fp03,fp02,
,,13,T,26-Nov,Provenance,fp04,fp03,
noClass,italic,,R,28-Nov,NO CLASS - THANKSGIVING RECESS,,,
,,14,T,3-Dec,"Open Problems in VA, AMA, Final Project Q&A ",,,
presy,proj,,R,5-Dec,Final Project Demonstrations ,,fp04,
presy,proj ,15,T,10-Dec,Final Project Demonstrations ,,,
,,,,,,,,